longitude,latitude,precipitation,start_date,end_date,source_file
13.150000014310843,43.05000005438119,2.7554657,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.250000008586508,43.05000005438119,2.680356,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.350000002862172,43.05000005438119,2.6909313,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.449999997137837,43.05000005438119,2.4999452,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.5499999914135,43.05000005438119,2.3467808,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.649999985689165,43.05000005438119,2.3254108,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.74999997996483,43.05000005438119,2.585356,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
13.849999974240495,43.05000005438119,2.8132875,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
14.049999962791823,43.05000005438119,2.3685753,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
11.350000117348882,42.95000006010552,2.763767,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
11.450000111624547,42.95000006010552,2.7460136,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
11.55000010590021,42.95000006010552,2.8616164,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
14.049999962791823,42.95000006010552,2.440863,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
14.14999995706749,42.95000006010552,2.4264793,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
14.249999951343153,42.95000006010552,2.4278219,20180101,20181231,GIOVANNI_g4_timeAvgMap_GPM_3IMERGDE_07_precipitation_20180101_20181231.tif
