latitude,longitude,mean,var
41.050000168867896,10.050000191765244,1.929,0.435
41.050000168867896,10.150000186040907,1.843,0.473
41.050000168867896,10.250000180316572,1.806,0.514
41.050000168867896,10.350000174592235,1.778,0.5
41.050000168867896,10.450000168867902,1.754,0.535
41.050000168867896,10.550000163143563,1.751,0.486
41.050000168867896,10.65000015741923,1.73,0.518
41.050000168867896,10.750000151694897,1.708,0.526
41.050000168867896,10.85000014597056,1.706,0.494
41.050000168867896,10.950000140246225,1.692,0.495
41.050000168867896,11.050000134521888,1.705,0.54
41.050000168867896,11.150000128797553,1.678,0.582
41.050000168867896,11.250000123073216,1.701,0.543
41.050000168867896,11.350000117348882,1.737,0.606
41.050000168867896,11.450000111624547,1.775,0.622
41.050000168867896,11.55000010590021,1.755,0.598
41.050000168867896,11.650000100175877,1.759,0.591
41.050000168867896,11.75000009445154,1.741,0.557
41.050000168867896,11.850000088727205,1.768,0.607
41.050000168867896,11.95000008300287,1.856,0.647
41.050000168867896,12.050000077278533,1.95,0.688
41.050000168867896,12.150000071554198,1.977,0.508
41.050000168867896,12.250000065829862,2.083,0.587
41.050000168867896,12.350000060105527,2.099,0.498
41.050000168867896,12.450000054381192,2.219,0.571
41.050000168867896,12.550000048656855,2.22,0.537
41.050000168867896,12.65000004293252,2.317,0.703
41.050000168867896,12.750000037208183,2.381,0.752
41.050000168867896,12.85000003148385,2.508,0.83
41.050000168867896,12.950000025759516,2.537,0.715
41.050000168867896,13.050000020035178,2.529,0.702
41.050000168867896,13.150000014310844,2.576,0.63
41.050000168867896,13.250000008586508,2.537,0.651
41.050000168867896,13.350000002862172,2.619,0.639
41.050000168867896,13.449999997137835,2.614,0.492
41.050000168867896,13.5499999914135,2.715,0.508
41.050000168867896,13.649999985689163,2.784,0.722
41.050000168867896,13.74999997996483,2.872,0.73
41.050000168867896,13.849999974240497,2.823,0.661
41.050000168867896,13.94999996851616,2.921,0.548
41.050000168867896,14.049999962791825,3.025,0.545
41.050000168867896,14.14999995706749,3.113,0.622
41.050000168867896,14.249999951343153,3.188,0.578
41.050000168867896,14.349999945618816,3.209,0.561
41.050000168867896,14.449999939894482,3.206,0.627
41.050000168867896,14.549999934170144,3.15,0.513
41.050000168867896,14.649999928445812,3.133,0.471
41.050000168867896,14.749999922721477,3.045,0.508
41.050000168867896,14.84999991699714,2.914,0.435
